"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5","5","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6,C7","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","LED rojo","","","","LED_SMD:LED_0402_1005Metric","~"
"D2","1","LED verde","","","","LED_SMD:LED_0402_1005Metric","~"
"D3","1","D_Schottky SS14","","","","Diode_SMD:D_SMA","~"
"J1","1","GC9A01_8P","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","https://buydisplay.com/download/ic/GC9A01A.pdf"
"J2","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J3","1","Batería 18650","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"R1,R2","2","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3","1","2k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4,R5","2","5.1K","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","Shutter","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"SW2","1","Modo","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"U1","1","XIAO-ESP32-S3-SMD","","","","misLibrerias:MODULE_113991054",""
"U2","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
