Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",124.060000,-85.000000,0.000000,top
"C2","100nF","C_0402_1005Metric",124.020000,-89.000000,0.000000,top
"C3","100nF","C_0402_1005Metric",124.020000,-93.000000,0.000000,top
"C4","100nF","C_0402_1005Metric",124.020000,-97.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",124.020000,-101.000000,0.000000,top
"C6","10uF","C_0805_2012Metric",116.500000,-104.550000,-90.000000,top
"C7","10uF","C_0805_2012Metric",136.000000,-109.500000,180.000000,top
"D1","LED rojo","LED_0402_1005Metric",141.000000,-108.000000,90.000000,top
"D2","LED verde","LED_0402_1005Metric",145.000000,-108.000000,90.000000,top
"D3","D_Schottky SS14","D_SMA",154.000000,-99.500000,0.000000,top
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4085",158.200000,-108.640000,0.000000,top
"J3","Batería 18650","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",153.000000,-91.000000,0.000000,top
"R1","1k","R_0402_1005Metric",151.990000,-104.500000,0.000000,top
"R2","1k","R_0402_1005Metric",155.990000,-104.500000,0.000000,top
"R3","2k","R_0402_1005Metric",136.000000,-105.500000,0.000000,top
"R4","5.1K","R_0402_1005Metric",161.490000,-105.500000,0.000000,top
"R5","5.1K","R_0402_1005Metric",167.990000,-105.500000,0.000000,top
"U1","XIAO-ESP32-S3-SMD","MODULE_113991054",136.120000,-89.556500,0.000000,top
"U2","TP4056-42-ESOP8","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",126.900000,-108.325000,0.000000,top
